"decimalYear","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1957.230769,224,1468,504,254,44,840,40,204,582,768,37,196,52,157,105,1309,46,1124,3844,1222,44,450,47,139,362,297,26,71,242,146,332,112,246,217,166,182,240,36,112,308
1957.269231,224,2038,260,145,32,742,143,430,543,756,41,81,205,78,44,1208,67,706,3783,1031,38,142,55,276,242,398,31,42,256,86,447,106,105,359,87,228,568,21,81,240
1957.307692,211,2214,182,72,72,588,205,675,493,879,33,64,223,60,35,983,83,474,3420,905,28,123,38,637,105,296,52,22,183,80,509,197,67,351,80,452,946,45,61,179
1957.346154,194,1632,88,60,52,264,156,584,396,716,32,28,204,44,18,408,82,422,2338,442,44,62,8,512,30,184,74,6,180,72,486,136,24,196,38,490,982,28,62,84
1957.384615,41,1655,59,44,122,362,121,640,287,549,64,11,248,44,15,521,74,438,1940,433,58,39,55,521,37,248,82,9,74,35,762,123,31,238,36,311,934,21,60,42
1957.423077,72,1883,33,15,196,274,207,824,449,601,120,1,309,31,20,484,111,413,1857,356,58,30,106,614,17,374,121,9,118,52,1213,200,53,214,21,360,855,12,56,36
1957.461538,40,1907,30,14,354,172,287,894,373,471,168,8,432,8,22,344,221,335,1608,329,70,27,103,642,8,447,133,6,124,30,1541,256,68,143,8,436,536,13,50,19
1957.5,36,1062,26,4,265,98,156,759,236,186,180,12,354,21,25,214,356,284,904,205,57,22,52,440,5,242,110,5,64,19,964,204,24,78,13,306,215,22,34,10
1957.538462,79,834,18,4,143,79,69,562,184,66,120,5,190,23,9,128,459,193,474,138,36,15,42,297,10,160,163,4,27,11,640,230,10,49,12,278,102,12,25,1
1957.576923,45,489,33,5,103,33,81,389,122,50,72,1,107,16,3,91,488,162,378,64,21,18,40,184,9,110,142,8,6,4,305,261,10,36,9,184,51,9,9,5
1957.615385,138,264,12,6,76,16,90,198,38,18,40,4,26,8,2,42,472,142,296,70,30,6,20,152,14,82,142,2,4,6,218,118,12,20,6,64,22,12,28,8
1957.653846,14,139,14,6,31,17,38,113,37,12,19,3,29,7,3,26,244,103,150,11,49,13,14,65,5,45,72,5,3,7,97,139,1,10,7,46,9,9,18,5
1957.692308,17,102,8,3,13,11,2,42,15,34,7,4,8,11,0,12,70,62,81,20,41,9,5,28,1,23,29,0,3,6,29,41,1,1,1,14,2,7,9,2
1957.730769,4,38,8,1,4,10,7,72,5,16,12,1,1,3,1,8,26,32,48,15,26,3,7,13,0,23,11,0,2,1,6,6,2,1,1,10,2,3,4,1
1957.769231,2,13,7,0,0,7,0,46,2,2,7,2,0,4,0,1,27,15,51,16,32,0,30,6,0,39,26,1,0,1,15,10,1,1,1,0,0,3,4,0
1957.807692,3,11,35,6,2,11,0,66,2,6,4,0,0,0,2,7,40,26,46,38,63,1,86,20,1,17,52,0,1,2,6,5,0,0,0,0,0,4,4,0
1957.846154,2,24,38,8,2,12,0,60,2,0,4,0,0,0,0,0,70,20,60,44,104,0,108,10,0,78,94,0,0,0,4,10,0,0,0,4,0,32,0,0
1957.884615,5,23,17,3,0,14,0,48,0,1,17,0,0,0,1,2,80,38,67,51,146,1,67,13,1,71,72,1,0,1,0,7,0,0,0,0,1,43,1,1
1957.923077,2,22,15,1,1,37,0,39,1,0,17,0,0,3,1,0,150,46,81,30,238,2,54,4,0,68,86,1,0,0,0,16,0,1,0,0,0,95,0,0
1957.961538,2,25,7,3,0,22,1,52,0,4,8,0,0,1,2,2,189,50,75,31,277,0,33,9,0,81,147,1,1,0,2,19,0,0,0,0,0,224,0,0
1958,4,16,17,3,8,11,0,20,6,6,48,1,0,1,2,4,259,77,60,35,269,2,110,4,1,59,202,0,0,1,4,44,2,0,0,0,1,442,4,0
1958.038462,2,33,29,0,16,8,2,15,6,0,61,0,1,4,11,3,203,54,57,39,210,3,81,20,0,53,110,0,2,1,2,55,2,1,1,0,0,387,1,0
1958.076923,1,68,22,1,41,4,2,18,14,4,96,0,0,0,26,9,363,111,120,52,291,2,99,116,0,100,127,1,1,5,4,46,3,1,7,10,2,406,22,3
1958.115385,0,50,32,0,64,2,3,32,19,0,190,0,2,2,74,0,407,221,242,69,142,2,157,172,1,80,190,0,0,20,3,120,2,0,8,16,0,490,15,4
1958.153846,4,59,28,0,103,8,3,58,32,4,120,0,0,1,93,5,431,307,320,56,92,2,94,140,0,39,185,1,2,56,1,131,0,1,11,6,1,348,21,4
1958.192308,5,78,10,0,142,1,2,63,18,22,125,1,0,2,109,6,382,312,372,43,53,2,106,133,0,76,178,3,4,44,5,93,8,8,9,6,0,292,19,0
1958.230769,11,173,7,1,137,3,9,78,20,6,111,0,1,3,103,4,313,314,415,86,42,1,134,132,1,82,215,8,1,101,1,35,27,7,16,3,1,152,8,1
1958.269231,23,191,3,0,70,6,6,116,18,13,140,0,0,3,151,3,388,304,725,97,32,4,128,206,0,42,254,12,3,89,11,51,51,5,11,17,1,39,16,1
1958.307692,14,222,4,0,37,5,7,104,16,23,81,0,0,2,74,5,190,275,577,86,36,2,102,136,1,25,147,3,0,61,6,27,22,14,6,12,2,14,23,1
1958.346154,28,182,4,0,12,13,0,137,9,17,117,4,1,11,76,5,119,255,785,71,17,6,161,191,0,17,143,0,0,42,3,10,10,9,3,0,0,8,24,28
1958.384615,28,174,2,1,10,12,0,190,22,6,120,3,0,40,146,3,109,320,1145,79,40,0,77,254,4,20,106,0,1,42,4,24,11,8,3,5,1,5,42,41
1958.423077,44,233,5,1,15,25,11,260,8,12,128,4,2,73,168,7,76,354,1049,101,21,8,57,261,17,32,37,2,5,40,16,50,35,6,1,8,1,6,41,42
1958.461538,39,250,3,1,14,27,4,280,5,2,103,2,4,79,124,8,105,455,990,136,37,8,11,233,41,30,30,1,6,35,22,69,53,16,18,7,2,1,74,36
1958.5,23,348,2,5,16,62,1,188,11,3,127,1,2,141,43,8,96,563,1020,196,30,6,6,174,68,28,42,2,6,37,23,112,61,47,5,10,1,3,117,72
1958.538462,56,487,8,2,11,57,1,228,23,5,102,3,4,177,19,14,43,510,1076,175,15,4,0,125,36,31,47,4,13,31,31,83,50,47,15,0,3,4,111,54
1958.576923,57,431,5,8,7,60,1,203,20,5,53,1,4,206,32,12,19,437,779,211,15,4,1,71,39,41,21,3,28,23,20,82,74,45,8,10,0,1,75,54
